transactionID,carrierID,customerID,amount,date
1,2,266,299.99,2005-03-10 05:48:42
10000000,2,7000,29999999999.99,2005-03-10 05:48:42
2,1,642,1346.86,2007-01-09 16:29:17
3,1,302,10.39,2007-06-26 17:45:52
4,2,119,199.37,2006-03-12 00:01:02
5,2,215,179.23,2005-10-26 08:41:03
6,3,51,18.64,2008-05-25 13:02:26
7,2,530,8.63,2007-11-19 20:33:32
8,2,837,19.24,2005-08-16 07:20:30
9,1,406,19.14,2008-08-18 19:38:01
10,3,136,17.43,2007-08-02 00:43:41
11,1,173,5.6,2006-10-25 22:00:30
12,3,931,165.08,2009-04-21 11:16:16
13,1,790,15.31,2006-10-05 22:42:16
14,3,695,17.82,2005-10-04 18:09:57
15,3,952,14.28,2008-08-16 16:56:42
16,1,342,19.11,2008-07-21 06:31:45
17,3,373,17.49,2007-04-24 03:12:52
18,1,23,14.59,2009-04-09 22:22:00
19,1,105,15.41,2007-07-19 16:35:48
20,3,56,8.77,2007-10-29 23:45:53
21,1,999,11.39,2009-01-01 23:16:15
22,3,165,18.24,2005-08-19 20:36:15
23,2,164,10.09,2009-08-14 08:30:09
24,3,975,19.39,2008-06-25 08:12:29
25,2,46,9.52,2006-06-30 23:13:56
26,1,231,17.13,2009-09-28 22:04:32
27,2,754,9.9,2007-12-07 22:11:55
28,3,142,13.51,2006-08-12 19:56:23
29,3,858,10.85,2006-01-25 03:15:25
30,3,365,15.93,2005-08-30 02:08:27
31,2,565,11.56,2006-12-20 12:14:08
32,2,459,14.4,2008-05-16 03:06:07
33,2,668,10.78,2008-11-05 17:38:29
34,2,132,11.49,2006-02-27 10:57:35
35,1,513,18.87,2005-08-26 01:19:09
36,1,687,7.23,2008-07-18 07:51:09
37,2,137,9.37,2006-01-31 12:39:28
38,2,187,11.57,2006-04-06 02:59:08
39,2,261,15.79,2008-08-30 06:30:32
40,3,752,13.73,2006-04-21 23:06:43
41,1,236,17.06,2006-08-16 09:36:20
42,2,61,17.76,2007-03-26 10:59:30
43,3,872,9.82,2007-09-19 16:42:50
44,1,618,18.25,2006-07-21 15:05:08
45,2,463,17.85,2009-02-28 14:09:11
46,2,438,15.78,2008-06-24 07:17:25
47,1,715,10.47,2005-09-01 14:54:03
48,1,420,14.06,2009-09-10 00:28:12
49,1,580,9.72,2005-04-28 22:57:02
50,1,159,12.93,2005-12-28 22:18:30
51,2,421,6.21,2005-07-01 14:34:40
52,3,157,12.56,2007-05-27 21:47:27
53,3,494,7.67,2006-09-18 15:33:31
54,1,85,14.43,2005-07-08 10:03:48
55,2,258,6.5,2009-07-18 10:53:22
56,2,449,5.15,2005-01-30 17:10:15
57,1,295,16.0,2009-02-06 17:44:52
58,3,345,18.8,2009-09-26 02:51:00
59,3,464,10.9,2006-06-09 22:32:52
60,2,532,7.17,2006-10-06 01:16:22
61,2,707,10.16,2005-11-19 23:46:23
62,3,853,6.58,2007-09-13 17:44:15
63,1,143,18.66,2005-10-20 19:15:22
64,2,828,13.36,2008-03-11 00:24:02
65,1,227,8.33,2005-08-08 01:54:15
66,3,707,11.51,2008-06-15 03:24:06
67,3,926,11.05,2009-05-18 07:45:35
68,3,426,5.05,2006-06-19 13:46:57
69,3,153,5.83,2006-10-19 01:50:57
70,2,799,10.76,2009-12-21 05:06:06
71,3,22,19.1,2008-02-26 20:18:44
72,2,528,6.02,2007-10-02 23:28:56
73,3,616,7.88,2009-06-23 16:34:12
74,3,579,6.39,2006-03-26 18:17:49
75,1,786,14.42,2006-05-26 02:09:49
76,1,403,5.82,2005-09-23 06:23:20
77,1,402,7.39,2009-07-31 03:18:41
78,3,878,18.35,2007-11-08 01:40:47
79,1,833,12.38,2008-11-01 22:18:51
80,3,641,12.71,2006-07-17 17:36:25
81,2,624,19.37,2006-06-28 02:18:41
82,2,579,10.91,2007-11-29 11:29:48
83,3,527,14.4,2009-12-20 02:26:53
84,2,734,11.41,2007-05-01 17:14:01
85,3,552,15.71,2006-03-18 17:59:16
86,2,857,19.97,2006-05-17 04:31:53
87,2,282,11.91,2008-12-07 02:48:17
88,1,469,14.56,2005-03-10 16:01:14
89,3,720,7.02,2008-12-23 22:12:51
90,2,612,16.56,2008-01-28 13:59:01
91,1,838,13.27,2006-03-25 11:07:31
92,3,552,15.78,2005-09-23 22:54:05
93,1,6,14.3,2009-03-12 12:52:51
94,2,893,17.87,2006-10-17 02:10:11
95,1,924,8.07,2006-10-30 20:55:47
96,3,93,19.2,2006-08-27 16:13:42
97,3,332,11.14,2006-07-23 00:29:06
98,3,444,18.51,2008-10-23 15:19:47
99,2,212,16.09,2008-07-03 06:30:01
100,3,598,15.46,2005-09-08 09:45:49
101,2,716,14.11,2005-01-24 04:55:29
102,3,139,18.03,2005-02-01 05:15:44
103,3,808,5.36,2006-08-24 00:23:56
104,1,217,19.5,2008-10-21 12:57:20
105,3,927,11.34,2007-01-19 10:22:18
106,2,12,14.82,2005-05-04 23:13:49
107,3,106,11.0,2009-03-27 14:57:50
108,2,139,11.65,2008-01-18 01:46:34
109,1,25,6.78,2005-09-02 08:59:17
110,2,714,17.69,2007-03-20 03:21:37
111,2,440,16.41,2007-05-01 06:13:35
112,3,376,15.95,2005-01-01 16:36:22
113,1,951,18.01,2007-08-25 02:19:00
114,3,291,18.05,2008-03-12 14:37:19
115,1,430,18.46,2006-03-05 04:44:43
116,3,509,9.99,2006-10-18 14:07:25
117,1,158,14.42,2005-09-22 03:34:53
118,2,427,13.97,2007-12-21 13:29:31
119,2,11,18.66,2008-10-14 03:55:22
120,2,790,7.0,2009-10-04 04:56:35
121,3,337,9.47,2005-11-06 06:26:38
122,3,787,16.79,2007-11-13 14:37:55
123,1,430,11.01,2009-11-27 14:28:35
